series,series_name,frequency,year,month,date,value
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1991,6,1991-06,8551.64
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1991,7,1991-07,8524.39
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1991,8,1991-08,8542.1
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1991,9,1991-09,8590.04
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1991,10,1991-10,8609.93
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1991,11,1991-11,8672.04
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1991,12,1991-12,8807.7
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1992,1,1992-01,8872.8
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1992,2,1992-02,9014.18
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1992,3,1992-03,9086.91
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1992,4,1992-04,9079.28
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1992,5,1992-05,9130.22
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1992,6,1992-06,9154.2
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1992,7,1992-07,9059.67
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1992,8,1992-08,9057.49
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1992,9,1992-09,9128.04
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1992,10,1992-10,9192.88
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1992,11,1992-11,9252.81
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1992,12,1992-12,9344.06
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1993,1,1993-01,9388.74
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1993,2,1993-02,9585.41
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1993,3,1993-03,9643.98
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1993,4,1993-04,9649.97
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1993,5,1993-05,9945.53
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1993,6,1993-06,9916.93
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1993,7,1993-07,9767.92
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1993,8,1993-08,9737.69
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1993,9,1993-09,9813.14
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1993,10,1993-10,9934.36
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1993,11,1993-11,10037.88
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1993,12,1993-12,10213.85
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1994,1,1994-01,10337.52
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1994,2,1994-02,10449.21
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1994,3,1994-03,10523.58
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1994,4,1994-04,10578.88
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1994,5,1994-05,10579.42
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1994,6,1994-06,10663.32
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1994,7,1994-07,10531.48
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1994,8,1994-08,10355.5
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1994,9,1994-09,10351.69
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1994,10,1994-10,10366.67
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1994,11,1994-11,10430.41
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1994,12,1994-12,10488.71
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1995,1,1995-01,10577.24
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1995,2,1995-02,10877.98
