date,value_usd_bn,source
1977-12-31,2.932,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1978-03-31,4.3999999999999995,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1978-06-30,4.134,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1978-09-30,4.592,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1978-12-31,5.16522,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1979-03-31,4.01362,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1979-06-30,5.72674,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1979-09-30,7.33278,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1979-12-31,4.88887,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1980-03-31,4.76774,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1980-06-30,5.3847,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1980-09-30,3.80635,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1980-12-31,3.35303,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1981-03-31,3.6183,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1981-06-30,3.40553,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1981-09-30,3.79285,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1981-12-31,3.22027,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1982-03-31,3.76676,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1982-06-30,3.71157,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1982-09-30,4.31389,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1982-12-31,3.59654,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1983-03-31,6.969320000000001,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1983-06-30,5.04978,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1983-09-30,5.14019,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1983-12-31,34.86132,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1984-03-31,16.89845,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1984-06-30,18.39216,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1984-09-30,17.91108,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1984-12-31,21.20975,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1985-03-31,19.59829,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1985-06-30,17.613799999999998,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1985-09-30,14.21225,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1985-12-31,18.8424,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1986-03-31,16.6883,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1986-06-30,16.04975,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1986-09-30,16.39723,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1986-12-31,16.77038,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1987-03-31,17.304570000000002,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
1987-06-30,23.24584,"BIS LBS: all reporting countries, USD total claims on UAE, all instruments"
