date,value_usd_bn,source
1977-12-31,4.155,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1978-03-31,4.119,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1978-06-30,2.011,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1978-09-30,2.806,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1978-12-31,2.96714,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1979-03-31,2.66183,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1979-06-30,5.18433,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1979-09-30,6.2281200000000005,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1979-12-31,7.91225,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1980-03-31,7.01121,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1980-06-30,9.475,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1980-09-30,12.60306,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1980-12-31,11.11802,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1981-03-31,7.9755,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1981-06-30,9.11365,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1981-09-30,12.875129999999999,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1981-12-31,11.27267,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1982-03-31,12.57747,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1982-06-30,14.32325,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1982-09-30,15.52726,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1982-12-31,12.668610000000001,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1983-03-31,16.43158,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1983-06-30,16.5392,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1983-09-30,14.62562,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1983-12-31,63.34276,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1984-03-31,30.23687,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1984-06-30,39.78442,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1984-09-30,38.36838,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1984-12-31,48.03729,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1985-03-31,49.13822,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1985-06-30,39.114869999999996,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1985-09-30,39.7402,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1985-12-31,48.22417,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1986-03-31,44.82979,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1986-06-30,41.396640000000005,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1986-09-30,46.542,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1986-12-31,49.03804,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1987-03-31,50.21779,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1987-06-30,57.61359,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1987-09-30,41.39016,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1987-12-31,53.93397,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1988-03-31,49.36466,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1988-06-30,53.46197,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1988-09-30,53.78245,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1988-12-31,62.191010000000006,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1989-03-31,52.912940000000006,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1989-06-30,68.16426,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1989-09-30,62.42796,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1989-12-31,107.31582,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1990-03-31,82.93588,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1990-06-30,76.51933,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1990-09-30,77.34433,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1990-12-31,104.24225,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1991-03-31,76.84608,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1991-06-30,79.44192,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1991-09-30,88.63377,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1991-12-31,84.63382,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1992-03-31,78.07065,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1992-06-30,78.82255,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1992-09-30,85.46456,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1992-12-31,78.82912,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1993-03-31,75.56172,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1993-06-30,55.89947,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1993-09-30,71.06765,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1993-12-31,67.99153,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1994-03-31,61.6642,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1994-06-30,77.57553999999999,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1994-09-30,63.686620000000005,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1994-12-31,76.75423,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1995-03-31,79.5863,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1995-06-30,80.78524,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1995-09-30,71.00943000000001,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1995-12-31,65.71146999999999,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1996-03-31,79.86421,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1996-06-30,74.41429,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1996-09-30,95.73428,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1996-12-31,96.91332,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1997-03-31,111.07249,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1997-06-30,93.82471,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1997-09-30,95.27946,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1997-12-31,84.71046,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1998-03-31,77.39090999999999,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1998-06-30,93.50522,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1998-09-30,82.13053000000001,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1998-12-31,100.44675,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1999-03-31,67.79059000000001,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1999-06-30,67.25384,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1999-09-30,73.36864,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
1999-12-31,73.01482,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2000-03-31,78.24709999999999,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2000-06-30,82.10813999999999,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2000-09-30,74.24907,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2000-12-31,81.67326,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2001-03-31,90.58502,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2001-06-30,84.98896,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2001-09-30,85.95519,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2001-12-31,124.99368,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2002-03-31,100.70768,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2002-06-30,94.49602999999999,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2002-09-30,91.3606,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2002-12-31,82.23814,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2003-03-31,76.54728,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2003-06-30,77.74984,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2003-09-30,75.07159,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2003-12-31,79.39318,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2004-03-31,71.86437000000001,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2004-06-30,63.7796,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2004-09-30,60.36773,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2004-12-31,120.87898,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2005-03-31,76.62467000000001,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2005-06-30,88.66426,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2005-09-30,123.22671,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2005-12-31,91.72412,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2006-03-31,95.68036000000001,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2006-06-30,102.76697,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2006-09-30,131.71161,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2006-12-31,169.87406000000001,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2007-03-31,151.75703,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2007-06-30,169.14156,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2007-09-30,132.32731,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2007-12-31,229.84622000000002,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2008-03-31,160.88572,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2008-06-30,108.79929,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2008-09-30,102.26910000000001,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2008-12-31,119.84675999999999,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2009-03-31,108.3116,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2009-06-30,121.3682,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2009-09-30,117.29842,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2009-12-31,126.47669,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2010-03-31,100.86417,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2010-06-30,84.63667000000001,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2010-09-30,115.23353,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2010-12-31,100.42716,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2011-03-31,157.060338,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2011-06-30,137.47697599999998,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2011-09-30,71.14516,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2011-12-31,98.45193,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2012-03-31,128.292013,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2012-06-30,114.252205,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2012-09-30,151.535156,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2012-12-31,129.866508,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2013-03-31,200.760119,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2013-06-30,165.030273,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2013-09-30,180.05109099999999,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2013-12-31,234.408749,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2014-03-31,266.32181,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2014-06-30,253.93830100000002,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2014-09-30,316.201754,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2014-12-31,275.514121,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2015-03-31,304.916697,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2015-06-30,291.826032,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2015-09-30,311.093219,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2015-12-31,234.047777,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2016-03-31,275.568242,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2016-06-30,286.979917,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2016-09-30,249.814815,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2016-12-31,232.020936,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2017-03-31,299.708447,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2017-06-30,271.819889,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2017-09-30,288.4603,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2017-12-31,374.302763,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2018-03-31,341.645132,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2018-06-30,315.083314,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2018-09-30,380.714171,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2018-12-31,382.23813,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2019-03-31,387.076456,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2019-06-30,365.504164,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2019-09-30,479.576689,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2019-12-31,346.191797,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2020-03-31,498.66108,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2020-06-30,387.109936,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2020-09-30,482.41973900000005,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2020-12-31,391.210384,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2021-03-31,351.655879,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2021-06-30,458.764591,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2021-09-30,421.982196,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2021-12-31,479.680964,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2022-03-31,414.877203,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2022-06-30,546.152216,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2022-09-30,609.242427,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2022-12-31,498.461025,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2023-03-31,594.391179,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2023-06-30,551.376321,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2023-09-30,548.329091,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2023-12-31,576.4882170000001,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2024-03-31,653.882059,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2024-06-30,591.408541,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2024-09-30,575.744462,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2024-12-31,609.141255,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2025-03-31,696.205972,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2025-06-30,739.925502,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
2025-09-30,725.9824920000001,"BIS LBS: all reporting countries, USD total liabilities to UAE, all instruments"
