date,reporter_country_code,reporter_country,position,instrument,denomination,value_usd_bn,source
1977-12-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,CHF: Swiss franc,0.038,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,EUR: Euro,0.08499999999999999,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,GBP: Pound (sterling),1.218,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,JPY: Yen,0.016,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,TO1: All currencies,4.897,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,TO3: All currencies excl. core,0.608,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,UN9: Unallocated currencies,0.608,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,USD: US dollar,2.932,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,C: Total claims,U: Unallocated by instrument,TO1: All currencies,4.897,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,CHF: Swiss franc,0.041,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,EUR: Euro,0.5429999999999999,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,GBP: Pound (sterling),0.33,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,JPY: Yen,0.04,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,TO1: All currencies,5.546,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,TO3: All currencies excl. core,0.437,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,UN9: Unallocated currencies,0.43700000000000006,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,USD: US dollar,4.155,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,5A,5A: All reporting countries,L: Total liabilities,U: Unallocated by instrument,TO1: All currencies,5.546,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,BE,BE: Belgium,C: Total claims,A: All instruments,TO1: All currencies,0.09,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,BE,BE: Belgium,L: Total liabilities,A: All instruments,TO1: All currencies,0.066,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,DE,DE: Germany,C: Total claims,A: All instruments,TO1: All currencies,0.018,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,DE,DE: Germany,L: Total liabilities,A: All instruments,TO1: All currencies,0.114,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,FR,FR: France,C: Total claims,A: All instruments,TO1: All currencies,0.13,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,FR,FR: France,L: Total liabilities,A: All instruments,TO1: All currencies,0.269,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,GB,GB: United Kingdom,C: Total claims,A: All instruments,TO1: All currencies,2.409,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,GB,GB: United Kingdom,L: Total liabilities,A: All instruments,TO1: All currencies,1.858,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,JP,JP: Japan,C: Total claims,A: All instruments,TO1: All currencies,0.08700000000000001,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,JP,JP: Japan,L: Total liabilities,A: All instruments,TO1: All currencies,0.106,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,LU,LU: Luxembourg,C: Total claims,A: All instruments,TO1: All currencies,0.14200000000000002,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,LU,LU: Luxembourg,L: Total liabilities,A: All instruments,TO1: All currencies,0.28,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1977-12-31,SE,SE: Sweden,C: Total claims,A: All instruments,TO1: All currencies,0.001,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,CHF: Swiss franc,0.041169,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,EUR: Euro,0.10299900000000001,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,GBP: Pound (sterling),1.252602,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,JPY: Yen,0.003254,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,TO1: All currencies,6.432955999999999,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,TO3: All currencies excl. core,0.632931,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,UN9: Unallocated currencies,0.632931,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,C: Total claims,A: All instruments,USD: US dollar,4.3999999999999995,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,C: Total claims,U: Unallocated by instrument,TO1: All currencies,6.432955999999999,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,CHF: Swiss franc,0.081322,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,EUR: Euro,0.866006,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,GBP: Pound (sterling),0.339376,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,JPY: Yen,0.358754,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,TO1: All currencies,6.332823,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,TO3: All currencies excl. core,0.568365,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,UN9: Unallocated currencies,0.5643320000000001,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,L: Total liabilities,A: All instruments,USD: US dollar,4.119,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,5A,5A: All reporting countries,L: Total liabilities,U: Unallocated by instrument,TO1: All currencies,6.332823,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,BE,BE: Belgium,C: Total claims,A: All instruments,TO1: All currencies,0.16148500000000002,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,BE,BE: Belgium,L: Total liabilities,A: All instruments,TO1: All currencies,0.06751,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,DE,DE: Germany,C: Total claims,A: All instruments,TO1: All currencies,0.013409,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,DE,DE: Germany,L: Total liabilities,A: All instruments,TO1: All currencies,0.16015000000000001,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,FR,FR: France,C: Total claims,A: All instruments,TO1: All currencies,0.430525,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,FR,FR: France,L: Total liabilities,A: All instruments,TO1: All currencies,0.23217000000000002,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
1978-03-31,GB,GB: United Kingdom,C: Total claims,A: All instruments,TO1: All currencies,3.00835,"BIS LBS exact UAE counterparty rows aggregated by reporter, position, instrument, denomination"
