Member_Number,Member_Name,Services
9044,ABN AMRO Clearing USA LLC/ACM Omnibus,Netting & Repo Netting
9275,ABN AMRO Clearing USA LLC/Omnibus,Netting & Repo Netting
9732,"Banco Bilbao Vizcaya Argentaria, S.A./Omnibus",Netting & Repo Netting
9491,"Bank of Montreal, Chicago Branch - Omnibus",Netting & Repo Netting
9912,Barclays Bank PLC/Omnibus,Netting & Repo Netting
9961,BNP Paribas SA/Omnibus,Netting & Repo Netting
9055,BNP Paribas Securities Corp.- Omnibus,Netting & Repo Netting
9572,"BOFA Securities, Inc./ACM Omnibus",Netting & Repo Netting
9651,"BOFA Securities, Inc./Omnibus",Netting & Repo Netting
9878,"BOFA Securities, Inc./Omnibus CIL",Repo Netting
9243,"BOFA Securities, Inc./Omnibus Sponsored GC",Netting & Repo Netting
94CG,Buckler Securities LLC/ACM Omnibus,Netting & Repo Netting
9283,Buckler Securities LLC/Omnibus,Netting & Repo Netting
9118,"Canadian Imperial Bank of Commerce, New York Branch - Omnibus",Netting & Repo Netting
9530,Cantor Fitzgerald & Co/ACM Omnibus,Netting & Repo Netting
9084,Cantor Fitzgerald & Co. - Omnibus,Netting & Repo Netting
9384,"CF Secured, LLC/ACM Omnibus",Netting & Repo Netting
9289,"CF Secured, LLC/Omnibus",Netting & Repo Netting
9913,Citigroup Global Markets Inc. / Omnibus,Netting & Repo Netting
9882,"Citigroup Global Markets, Inc./Omnibus CIL",Repo Netting
9285,Clear Street LLC/ACM Omnibus,Netting & Repo Netting
9451,Clear Street LLC/Omnibus,Netting & Repo Netting
9139,"Credit Agricole Corporate and Investment Bank, New York Branch/Omnibus",Netting & Repo Netting
9626,"Curvature Securities, LLC/ACM Omnibus",Netting & Repo Netting
94CD,"Curvature Securities, LLC/ACM Omnibus Seg",Netting & Repo Netting
9364,Daiwa Capital Markets America Inc./Omnibus,Netting & Repo Netting
9062,Deutsche Bank AG New York Branch/Omnibus,Netting & Repo Netting
9378,"DV Securities, LLC/Omnibus Non-Seg",Netting & Repo Netting
94BT,Goldman Sachs & Co. LLC/ACM Omnibus,Netting
9647,Goldman Sachs & Co. LLC/Omnibus,Netting & Repo Netting
9628,"Hilltop Securities, Inc./ACM Omnibus",Netting
9057,HSBC Securities (USA) Inc. - Omnibus,Netting & Repo Netting
9090,ING Financial Markets LLC - Omnibus,Netting & Repo Netting
9512,J.P. Morgan Securities LLC/ACM Omnibus,Netting
9779,J.P. Morgan Securities LLC/Omnibus,Netting & Repo Netting
94CB,Jefferies LLC/ACM Omnibus,Netting & Repo Netting
9705,Jefferies LLC/Omnibus Seg,Netting & Repo Netting
9955,JP Morgan Chase Bank NA/Omnibus,Netting & Repo Netting
94BW,Marex Capital Markets Inc./ACM Omnibus,Netting & Repo Netting
9535,Marex Capital Markets Inc./Omnibus,Netting & Repo Netting
9934,Mirae Asset Securities (USA) Inc./ACM Omnibus,Netting & Repo Netting
9217,Mirae Asset Securities (USA) Inc. - Omnibus,Netting & Repo Netting
9923,Mizuho Securities USA LLC/Omnibus,Netting & Repo Netting
9770,Morgan Stanley & Co. LLC/Omnibus,Netting & Repo Netting
9987,"National Bank of Canada, New York Branch/Omnibus",Netting & Repo Netting
9556,National Financial Services LLC/ACM Omnibus,Netting & Repo Netting
9015,"Natixis, New York Branch - Omnibus",Netting & Repo Netting
9067,Natwest Markets Securities Inc./Omnibus,Netting & Repo Netting
9962,"Nomura Securities International, Inc/Omnibus",Netting & Repo Netting
9656,"Palafox Trading, LLC/Omnibus",Netting & Repo Netting
9585,Pershing LLC/ACM Omnibus,Netting & Repo Netting
9422,RBC Capital Markets LLC/ACM Omnibus,Netting
9140,"Royal Bank of Canada, WFC Branch/Omnibus",Netting & Repo Netting
9694,"SG Americas Securities, LLC/ACM Omnibus",Netting & Repo Netting
9432,SG Americas Securities LLC/ACM Omnibus Seg,Netting & Repo Netting
9009,"SG Americas Securities, LLC/Omnibus",Netting & Repo Netting
9435,Societe Generale-New York Branch Omnibus,Netting & Repo Netting
9000,"South Street Securities, LLC/Omnibus",Netting & Repo Netting
9910,Standard Chartered Bank/Omnibus,Netting & Repo Netting
9517,State Street Bank & Trust Company Omnibus Account,Netting & Repo Netting
9424,"Stifel, Nicolaus & Company, Incorporated/ACM Omnibus",Netting
9879,The Bank of New York Mellon - Omnibus CIL Done-With,Repo Netting
9571,The Bank of New York Mellon/Omnibus,Netting & Repo Netting
9914,"The Bank of Nova Scotia, New York Agency/Omnibus",Netting & Repo Netting
9054,The Northern Trust Company/Omnibus,Netting & Repo Netting
9627,"U.S. Bancorp Investments, Inc./Omnibus",Netting & Repo Netting
9963,"UBS, AG Stamford Branch/Omnibus",Netting & Repo Netting
9666,Wedbush Securities Inc./ACM Omnibus,Netting
9698,Wedbush Securities Inc./Sungard/ACM Omnibus,Netting & Repo Netting
9271,"Wells Fargo Bank, National Association/Omnibus",Netting & Repo Netting
9527,"Wells Fargo Clearing Services, LLC/ACM Omnibus",Netting
9272,"Wells Fargo Securities, LLC/Omnibus",Netting & Repo Netting
