Member_Number,Member_Name,Services
9512,J.P. Morgan Securities LLC/ACM Omnibus,Netting
9779,J.P. Morgan Securities LLC/Omnibus,Netting & Repo Netting
9913,Citigroup Global Markets Inc. / Omnibus,Netting & Repo Netting
9882,"Citigroup Global Markets, Inc./Omnibus CIL",Repo Netting
9572,"BOFA Securities, Inc./ACM Omnibus",Netting & Repo Netting
9651,"BOFA Securities, Inc./Omnibus",Netting & Repo Netting
9878,"BOFA Securities, Inc./Omnibus CIL",Repo Netting
9243,"BOFA Securities, Inc./Omnibus Sponsored GC",Netting & Repo Netting
9057,HSBC Securities (USA) Inc. - Omnibus,Netting & Repo Netting
9910,Standard Chartered Bank/Omnibus,Netting & Repo Netting
9879,The Bank of New York Mellon - Omnibus CIL Done-With,Repo Netting
9571,The Bank of New York Mellon/Omnibus,Netting & Repo Netting
9517,State Street Bank & Trust Company Omnibus Account,Netting & Repo Netting
9054,The Northern Trust Company/Omnibus,Netting & Repo Netting
9961,BNP Paribas SA/Omnibus,Netting & Repo Netting
9055,BNP Paribas Securities Corp.- Omnibus,Netting & Repo Netting
9435,Societe Generale-New York Branch Omnibus,Netting & Repo Netting
9062,Deutsche Bank AG New York Branch/Omnibus,Netting & Repo Netting
9912,Barclays Bank PLC/Omnibus,Netting & Repo Netting
94BT,Goldman Sachs & Co. LLC/ACM Omnibus,Netting
9647,Goldman Sachs & Co. LLC/Omnibus,Netting & Repo Netting
9770,Morgan Stanley & Co. LLC/Omnibus,Netting & Repo Netting
