date,country,value_usd_bn,source
2022-01-31,All Other,410.0,TIC MFH current table
2022-02-28,All Other,409.8,TIC MFH current table
2022-03-31,All Other,399.6,TIC MFH current table
2022-04-30,All Other,402.0,TIC MFH current table
2022-05-31,All Other,400.1,TIC MFH current table
2022-06-30,All Other,407.2,TIC MFH current table
2022-07-31,All Other,407.7,TIC MFH current table
2022-08-31,All Other,408.5,TIC MFH current table
2022-09-30,All Other,414.1,TIC MFH current table
2022-10-31,All Other,408.3,TIC MFH current table
2022-11-30,All Other,424.9,TIC MFH current table
2022-12-31,All Other,439.2,TIC MFH current table
2023-01-31,All Other,437.2,TIC MFH current table
2022-01-31,Australia,59.7,TIC MFH current table
2022-02-28,Australia,60.6,TIC MFH current table
2022-03-31,Australia,59.2,TIC MFH current table
2022-04-30,Australia,60.2,TIC MFH current table
2022-05-31,Australia,57.2,TIC MFH current table
2022-06-30,Australia,54.3,TIC MFH current table
2022-07-31,Australia,56.3,TIC MFH current table
2022-08-31,Australia,56.2,TIC MFH current table
2022-09-30,Australia,56.3,TIC MFH current table
2022-10-31,Australia,58.5,TIC MFH current table
2022-11-30,Australia,58.3,TIC MFH current table
2022-12-31,Australia,57.1,TIC MFH current table
2023-01-31,Australia,62.2,TIC MFH current table
2022-01-31,Bahamas,35.9,TIC MFH current table
2022-02-28,Bahamas,33.5,TIC MFH current table
2022-03-31,Bahamas,36.1,TIC MFH current table
2022-04-30,Bahamas,39.5,TIC MFH current table
2022-05-31,Bahamas,30.0,TIC MFH current table
2022-06-30,Bahamas,30.3,TIC MFH current table
2022-07-31,Bahamas,35.7,TIC MFH current table
2022-08-31,Bahamas,40.0,TIC MFH current table
2022-09-30,Bahamas,41.3,TIC MFH current table
2022-10-31,Bahamas,45.1,TIC MFH current table
2022-11-30,Bahamas,44.1,TIC MFH current table
2022-12-31,Bahamas,46.0,TIC MFH current table
2023-01-31,Bahamas,38.1,TIC MFH current table
2022-01-31,Belgium,243.0,TIC MFH current table
2022-02-28,Belgium,258.4,TIC MFH current table
2022-03-31,Belgium,264.5,TIC MFH current table
2022-04-30,Belgium,255.6,TIC MFH current table
2022-05-31,Belgium,268.2,TIC MFH current table
2022-06-30,Belgium,273.5,TIC MFH current table
2022-07-31,Belgium,285.4,TIC MFH current table
2022-08-31,Belgium,287.8,TIC MFH current table
2022-09-30,Belgium,325.0,TIC MFH current table
2022-10-31,Belgium,327.2,TIC MFH current table
2022-11-30,Belgium,332.9,TIC MFH current table
2022-12-31,Belgium,354.3,TIC MFH current table
2023-01-31,Belgium,331.1,TIC MFH current table
2022-01-31,Bermuda,69.7,TIC MFH current table
2022-02-28,Bermuda,71.2,TIC MFH current table
2022-03-31,Bermuda,73.0,TIC MFH current table
2022-04-30,Bermuda,75.2,TIC MFH current table
2022-05-31,Bermuda,77.4,TIC MFH current table
2022-06-30,Bermuda,79.5,TIC MFH current table
2022-07-31,Bermuda,82.3,TIC MFH current table
2022-08-31,Bermuda,82.7,TIC MFH current table
2022-09-30,Bermuda,82.6,TIC MFH current table
2022-10-31,Bermuda,83.6,TIC MFH current table
2022-11-30,Bermuda,83.6,TIC MFH current table
2022-12-31,Bermuda,81.5,TIC MFH current table
2023-01-31,Bermuda,77.4,TIC MFH current table
2022-01-31,Brazil,236.1,TIC MFH current table
2022-02-28,Brazil,237.4,TIC MFH current table
2022-03-31,Brazil,233.3,TIC MFH current table
2022-04-30,Brazil,229.2,TIC MFH current table
2022-05-31,Brazil,228.4,TIC MFH current table
2022-06-30,Brazil,226.1,TIC MFH current table
2022-07-31,Brazil,232.9,TIC MFH current table
2022-08-31,Brazil,227.3,TIC MFH current table
2022-09-30,Brazil,221.8,TIC MFH current table
2022-10-31,Brazil,220.1,TIC MFH current table
2022-11-30,Brazil,225.9,TIC MFH current table
2022-12-31,Brazil,217.4,TIC MFH current table
2023-01-31,Brazil,214.0,TIC MFH current table
2022-01-31,Canada,217.6,TIC MFH current table
2022-02-28,Canada,224.1,TIC MFH current table
2022-03-31,Canada,236.5,TIC MFH current table
2022-04-30,Canada,234.7,TIC MFH current table
2022-05-31,Canada,225.5,TIC MFH current table
2022-06-30,Canada,206.2,TIC MFH current table
2022-07-31,Canada,227.9,TIC MFH current table
2022-08-31,Canada,228.2,TIC MFH current table
2022-09-30,Canada,199.9,TIC MFH current table
2022-10-31,Canada,218.2,TIC MFH current table
2022-11-30,Canada,228.7,TIC MFH current table
2022-12-31,Canada,215.1,TIC MFH current table
2023-01-31,Canada,254.1,TIC MFH current table
2022-01-31,Cayman Islands,272.1,TIC MFH current table
2022-02-28,Cayman Islands,275.9,TIC MFH current table
2022-03-31,Cayman Islands,293.9,TIC MFH current table
2022-04-30,Cayman Islands,292.5,TIC MFH current table
2022-05-31,Cayman Islands,295.4,TIC MFH current table
2022-06-30,Cayman Islands,302.3,TIC MFH current table
2022-07-31,Cayman Islands,293.4,TIC MFH current table
2022-08-31,Cayman Islands,308.6,TIC MFH current table
2022-09-30,Cayman Islands,301.5,TIC MFH current table
2022-10-31,Cayman Islands,291.7,TIC MFH current table
2022-11-30,Cayman Islands,283.5,TIC MFH current table
2022-12-31,Cayman Islands,283.8,TIC MFH current table
2023-01-31,Cayman Islands,285.3,TIC MFH current table
2022-01-31,Chile,35.3,TIC MFH current table
2022-02-28,Chile,37.2,TIC MFH current table
2022-03-31,Chile,37.4,TIC MFH current table
2022-04-30,Chile,36.5,TIC MFH current table
2022-05-31,Chile,39.4,TIC MFH current table
2022-06-30,Chile,40.5,TIC MFH current table
2022-07-31,Chile,38.1,TIC MFH current table
2022-08-31,Chile,36.0,TIC MFH current table
2022-09-30,Chile,34.0,TIC MFH current table
2022-10-31,Chile,33.8,TIC MFH current table
2022-11-30,Chile,34.1,TIC MFH current table
2022-12-31,Chile,34.0,TIC MFH current table
2023-01-31,Chile,34.2,TIC MFH current table
2022-01-31,"China, Mainland",1033.8,TIC MFH current table
2022-02-28,"China, Mainland",1028.7,TIC MFH current table
2022-03-31,"China, Mainland",1013.2,TIC MFH current table
2022-04-30,"China, Mainland",976.0,TIC MFH current table
2022-05-31,"China, Mainland",951.8,TIC MFH current table
2022-06-30,"China, Mainland",938.8,TIC MFH current table
2022-07-31,"China, Mainland",939.2,TIC MFH current table
2022-08-31,"China, Mainland",938.6,TIC MFH current table
2022-09-30,"China, Mainland",901.7,TIC MFH current table
2022-10-31,"China, Mainland",877.9,TIC MFH current table
2022-11-30,"China, Mainland",870.2,TIC MFH current table
2022-12-31,"China, Mainland",867.1,TIC MFH current table
2023-01-31,"China, Mainland",859.4,TIC MFH current table
2022-01-31,Colombia,33.3,TIC MFH current table
2022-02-28,Colombia,34.0,TIC MFH current table
2022-03-31,Colombia,34.5,TIC MFH current table
2022-04-30,Colombia,35.4,TIC MFH current table
2022-05-31,Colombia,34.9,TIC MFH current table
2022-06-30,Colombia,34.9,TIC MFH current table
2022-07-31,Colombia,35.1,TIC MFH current table
2022-08-31,Colombia,34.0,TIC MFH current table
2022-09-30,Colombia,34.4,TIC MFH current table
2022-10-31,Colombia,33.8,TIC MFH current table
2022-11-30,Colombia,35.7,TIC MFH current table
2022-12-31,Colombia,39.8,TIC MFH current table
2023-01-31,Colombia,39.5,TIC MFH current table
2022-01-31,France,232.9,TIC MFH current table
2022-02-28,France,238.7,TIC MFH current table
2022-03-31,France,246.0,TIC MFH current table
2022-04-30,France,242.9,TIC MFH current table
2022-05-31,France,242.5,TIC MFH current table
2022-06-30,France,236.3,TIC MFH current table
2022-07-31,France,231.8,TIC MFH current table
2022-08-31,France,232.7,TIC MFH current table
2022-09-30,France,206.7,TIC MFH current table
2022-10-31,France,217.4,TIC MFH current table
2022-11-30,France,203.6,TIC MFH current table
2022-12-31,France,189.0,TIC MFH current table
2023-01-31,France,183.9,TIC MFH current table
2022-01-31,Germany,84.3,TIC MFH current table
2022-02-28,Germany,90.5,TIC MFH current table
2022-03-31,Germany,93.8,TIC MFH current table
2022-04-30,Germany,92.8,TIC MFH current table
2022-05-31,Germany,91.6,TIC MFH current table
2022-06-30,Germany,95.4,TIC MFH current table
2022-07-31,Germany,87.5,TIC MFH current table
2022-08-31,Germany,88.8,TIC MFH current table
2022-09-30,Germany,83.9,TIC MFH current table
2022-10-31,Germany,85.9,TIC MFH current table
2022-11-30,Germany,90.0,TIC MFH current table
2022-12-31,Germany,100.7,TIC MFH current table
2023-01-31,Germany,91.3,TIC MFH current table
2022-01-31,Grand Total,7655.9,TIC MFH current table
2022-02-28,Grand Total,7703.6,TIC MFH current table
2022-03-31,Grand Total,7604.4,TIC MFH current table
2022-04-30,Grand Total,7443.4,TIC MFH current table
2022-05-31,Grand Total,7411.0,TIC MFH current table
2022-06-30,Grand Total,7417.0,TIC MFH current table
2022-07-31,Grand Total,7485.5,TIC MFH current table
2022-08-31,Grand Total,7492.7,TIC MFH current table
2022-09-30,Grand Total,7251.5,TIC MFH current table
2022-10-31,Grand Total,7133.1,TIC MFH current table
2022-11-30,Grand Total,7268.6,TIC MFH current table
2022-12-31,Grand Total,7318.7,TIC MFH current table
2023-01-31,Grand Total,7402.5,TIC MFH current table
2022-01-31,Hong Kong,225.6,TIC MFH current table
2022-02-28,Hong Kong,205.4,TIC MFH current table
2022-03-31,Hong Kong,207.7,TIC MFH current table
2022-04-30,Hong Kong,195.0,TIC MFH current table
2022-05-31,Hong Kong,185.6,TIC MFH current table
2022-06-30,Hong Kong,187.3,TIC MFH current table
2022-07-31,Hong Kong,192.8,TIC MFH current table
2022-08-31,Hong Kong,189.8,TIC MFH current table
2022-09-30,Hong Kong,178.7,TIC MFH current table
2022-10-31,Hong Kong,185.0,TIC MFH current table
2022-11-30,Hong Kong,201.0,TIC MFH current table
2022-12-31,Hong Kong,221.0,TIC MFH current table
2023-01-31,Hong Kong,226.8,TIC MFH current table
2022-01-31,India,198.6,TIC MFH current table
2022-02-28,India,199.8,TIC MFH current table
2022-03-31,India,199.8,TIC MFH current table
2022-04-30,India,199.0,TIC MFH current table
2022-05-31,India,203.7,TIC MFH current table
2022-06-30,India,208.8,TIC MFH current table
2022-07-31,India,212.0,TIC MFH current table
2022-08-31,India,221.2,TIC MFH current table
2022-09-30,India,212.6,TIC MFH current table
2022-10-31,India,213.0,TIC MFH current table
2022-11-30,India,219.0,TIC MFH current table
2022-12-31,India,224.1,TIC MFH current table
2023-01-31,India,232.0,TIC MFH current table
2022-01-31,Iraq,23.4,TIC MFH current table
2022-02-28,Iraq,24.1,TIC MFH current table
2022-03-31,Iraq,26.2,TIC MFH current table
2022-04-30,Iraq,28.3,TIC MFH current table
2022-05-31,Iraq,32.9,TIC MFH current table
2022-06-30,Iraq,32.0,TIC MFH current table
2022-07-31,Iraq,34.6,TIC MFH current table
2022-08-31,Iraq,35.6,TIC MFH current table
2022-09-30,Iraq,36.9,TIC MFH current table
2022-10-31,Iraq,38.0,TIC MFH current table
2022-11-30,Iraq,39.7,TIC MFH current table
2022-12-31,Iraq,40.8,TIC MFH current table
2023-01-31,Iraq,41.2,TIC MFH current table
2022-01-31,Ireland,308.6,TIC MFH current table
2022-02-28,Ireland,314.9,TIC MFH current table
2022-03-31,Ireland,315.9,TIC MFH current table
2022-04-30,Ireland,309.7,TIC MFH current table
2022-05-31,Ireland,288.8,TIC MFH current table
2022-06-30,Ireland,285.6,TIC MFH current table
2022-07-31,Ireland,277.5,TIC MFH current table
2022-08-31,Ireland,275.6,TIC MFH current table
2022-09-30,Ireland,265.4,TIC MFH current table
2022-10-31,Ireland,245.1,TIC MFH current table
2022-11-30,Ireland,250.3,TIC MFH current table
2022-12-31,Ireland,254.8,TIC MFH current table
2023-01-31,Ireland,253.4,TIC MFH current table
2022-01-31,Israel,63.8,TIC MFH current table
2022-02-28,Israel,66.0,TIC MFH current table
2022-03-31,Israel,59.5,TIC MFH current table
2022-04-30,Israel,52.0,TIC MFH current table
2022-05-31,Israel,50.9,TIC MFH current table
2022-06-30,Israel,51.5,TIC MFH current table
2022-07-31,Israel,53.0,TIC MFH current table
2022-08-31,Israel,51.1,TIC MFH current table
2022-09-30,Israel,51.2,TIC MFH current table
2022-10-31,Israel,51.1,TIC MFH current table
2022-11-30,Israel,52.0,TIC MFH current table
2022-12-31,Israel,47.8,TIC MFH current table
2023-01-31,Israel,46.1,TIC MFH current table
2022-01-31,Italy,42.1,TIC MFH current table
2022-02-28,Italy,45.4,TIC MFH current table
2022-03-31,Italy,44.2,TIC MFH current table
2022-04-30,Italy,42.6,TIC MFH current table
2022-05-31,Italy,41.9,TIC MFH current table
2022-06-30,Italy,40.4,TIC MFH current table
2022-07-31,Italy,40.2,TIC MFH current table
2022-08-31,Italy,37.9,TIC MFH current table
2022-09-30,Italy,36.8,TIC MFH current table
2022-10-31,Italy,36.8,TIC MFH current table
2022-11-30,Italy,38.1,TIC MFH current table
2022-12-31,Italy,39.2,TIC MFH current table
2023-01-31,Italy,40.2,TIC MFH current table
2022-01-31,Japan,1299.9,TIC MFH current table
2022-02-28,Japan,1303.0,TIC MFH current table
2022-03-31,Japan,1229.0,TIC MFH current table
2022-04-30,Japan,1215.0,TIC MFH current table
2022-05-31,Japan,1219.9,TIC MFH current table
2022-06-30,Japan,1232.7,TIC MFH current table
2022-07-31,Japan,1230.7,TIC MFH current table
2022-08-31,Japan,1196.0,TIC MFH current table
2022-09-30,Japan,1116.4,TIC MFH current table
2022-10-31,Japan,1064.4,TIC MFH current table
2022-11-30,Japan,1082.3,TIC MFH current table
2022-12-31,Japan,1076.3,TIC MFH current table
2023-01-31,Japan,1104.4,TIC MFH current table
2022-01-31,Korea,123.8,TIC MFH current table
2022-02-28,Korea,121.9,TIC MFH current table
2022-03-31,Korea,118.9,TIC MFH current table
2022-04-30,Korea,117.3,TIC MFH current table
2022-05-31,Korea,115.3,TIC MFH current table
2022-06-30,Korea,111.9,TIC MFH current table
2022-07-31,Korea,111.9,TIC MFH current table
2022-08-31,Korea,117.5,TIC MFH current table
2022-09-30,Korea,104.9,TIC MFH current table
2022-10-31,Korea,98.7,TIC MFH current table
2022-11-30,Korea,100.3,TIC MFH current table
2022-12-31,Korea,102.9,TIC MFH current table
2023-01-31,Korea,105.8,TIC MFH current table
2022-01-31,Kuwait,50.6,TIC MFH current table
2022-02-28,Kuwait,50.6,TIC MFH current table
2022-03-31,Kuwait,46.8,TIC MFH current table
2022-04-30,Kuwait,46.1,TIC MFH current table
2022-05-31,Kuwait,46.3,TIC MFH current table
2022-06-30,Kuwait,46.0,TIC MFH current table
2022-07-31,Kuwait,49.5,TIC MFH current table
2022-08-31,Kuwait,51.1,TIC MFH current table
2022-09-30,Kuwait,50.2,TIC MFH current table
2022-10-31,Kuwait,50.3,TIC MFH current table
2022-11-30,Kuwait,50.8,TIC MFH current table
2022-12-31,Kuwait,48.5,TIC MFH current table
2023-01-31,Kuwait,43.3,TIC MFH current table
2022-01-31,Luxembourg,313.0,TIC MFH current table
2022-02-28,Luxembourg,316.4,TIC MFH current table
