date,country,value_usd_bn,source
2022-01-31,United Arab Emirates,44.9,TIC MFH current table
2022-02-28,United Arab Emirates,46.5,TIC MFH current table
2022-03-31,United Arab Emirates,45.8,TIC MFH current table
2022-04-30,United Arab Emirates,41.9,TIC MFH current table
2022-05-31,United Arab Emirates,38.4,TIC MFH current table
2022-06-30,United Arab Emirates,40.1,TIC MFH current table
2022-07-31,United Arab Emirates,41.6,TIC MFH current table
2022-08-31,United Arab Emirates,48.2,TIC MFH current table
2022-09-30,United Arab Emirates,47.9,TIC MFH current table
2022-10-31,United Arab Emirates,53.9,TIC MFH current table
2022-11-30,United Arab Emirates,59.5,TIC MFH current table
2022-12-31,United Arab Emirates,58.6,TIC MFH current table
2023-01-31,United Arab Emirates,64.9,TIC MFH current table
